epoch,angular_error_deg,loss,lr,val_angular_error_deg,val_loss
0,7.813447952270508,0.0877726823091507,0.0012,6.039352893829346,0.07071521133184433
1,3.7147228717803955,0.042713847011327744,0.0012,5.860905647277832,0.06717471033334732
2,3.3113391399383545,0.038054440170526505,0.0012,6.476163387298584,0.07659094035625458
3,2.911696195602417,0.03355196490883827,0.0012,6.19158411026001,0.07188546657562256
4,2.7083401679992676,0.031214671209454536,0.0012,6.0709919929504395,0.06919395178556442
5,2.5513761043548584,0.029502203688025475,0.0012,6.005677223205566,0.06664654612541199
6,2.3650779724121094,0.02747243084013462,0.0012,6.107161521911621,0.0701836422085762
7,2.21268892288208,0.025798548012971878,0.0012,6.169609069824219,0.0708133727312088
8,2.1147193908691406,0.02479879930615425,0.0012,6.1136274337768555,0.06748678535223007
9,2.0460739135742188,0.023873906582593918,0.0012,5.938472747802734,0.06665053963661194
10,1.928802490234375,0.02269718237221241,0.0012,5.993146896362305,0.06936143338680267
11,1.849416732788086,0.021911179646849632,0.0012,6.335278034210205,0.07187610864639282
12,1.5171520709991455,0.018069669604301453,0.0006,6.08563756942749,0.06741034239530563
13,1.4210768938064575,0.01699807122349739,0.0006,5.961914539337158,0.0663469061255455
14,1.373397946357727,0.01646866649389267,0.0006,6.086591720581055,0.06806644797325134
15,1.3221681118011475,0.015957482159137726,0.0006,5.908102512359619,0.06546378135681152
16,1.3035966157913208,0.015670770779252052,0.0006,6.043720245361328,0.06838244944810867
17,1.269709825515747,0.015326885506510735,0.0006,6.057096481323242,0.06892890483140945
18,1.2462295293807983,0.015054096467792988,0.0006,6.139214038848877,0.06887298822402954
19,1.2056610584259033,0.014628644101321697,0.0006,6.127940654754639,0.06917603313922882
